"dataset_id","state","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"NLCD_canopy_20","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75849.323272,NA,NA,NA,NA,75112.421989,NA,NA,NA,NA,NA,NA
"NLCD_canopy_60","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52546.448459,NA,NA,NA,NA,50401.728127,NA,NA,NA,NA,NA,NA
"NLCD_canopy_80","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32013.767177,NA,NA,NA,NA,28716.749675,NA,NA,NA,NA,NA,NA
"NLCD_canopy_perc","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41004.692807,NA,NA,NA,NA,39161.832068,NA,NA,NA,NA,NA,NA
"NLCD_forest","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28445.075685,NA,NA,27562.696891,NA,26833.407822,NA,26988.271051,NA,NA,26918.229984,NA,27581.046561,NA,NA,26594.823345,NA,NA,27304.651051,NA,27779.509517,NA
"NLCD_forest_woodywet","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66472.457364,NA,NA,64236.917703,NA,63900.840218,NA,64608.811552,NA,NA,64808.736536,NA,66100.217255,NA,NA,65113.268191,NA,NA,65930.352501,NA,66382.493114,NA
"NRI_total","FL",NA,NA,54326.1837312829,NA,NA,NA,NA,54172.3998381222,NA,NA,NA,NA,53872.9259409146,NA,NA,NA,NA,54095.5078915419,NA,NA,NA,NA,53617.9684338325,NA,NA,NA,NA,53460.1375961149,NA,NA,NA,NA,53512.7478753541,NA,NA,NA,NA,NA
"NRI_grazed","FL",NA,NA,7531.36382031566,NA,NA,NA,NA,7260.21853500607,NA,NA,NA,NA,6535.81545932821,NA,NA,NA,NA,4917.03763658438,NA,NA,NA,NA,3367.05787130716,NA,NA,NA,NA,3116.14730878187,NA,NA,NA,NA,3067.58397409955,NA,NA,NA,NA,NA
"NRI_notgrazed","FL",NA,NA,46794.8199109672,NA,NA,NA,NA,46912.1813031161,NA,NA,NA,NA,47337.1104815864,NA,NA,NA,NA,49178.4702549575,NA,NA,NA,NA,50250.9105625253,NA,NA,NA,NA,50343.9902873331,NA,NA,NA,NA,50445.1639012545,NA,NA,NA,NA,NA
"DW_trees_annual_mode","CONUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2703171.725217,2611506.942506,2676080.974257,2663040.784682,2671098.071698,2612927.76246
"DW_trees_gs_mode","CONUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2730307.621106,2709856.992276,2790993.898333,2741272.801717,2800609.69519,2692897.173661
"DW_trees_prob_10","CONUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3840778.595899,3701930.325164,3808233.916895,3729828.501416,3726749.017597,3602328.066309
"DW_trees_prob_25","CONUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2769876.327074,2688405.178647,2734118.047132,2733670.131136,2728128.785528,2668577.672765
"DW_trees_prob_50","CONUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1754963.717767,1601002.465099,1698730.102942,1692647.24587,1588253.325407,1586809.481413
"ESA_trees","CONUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2751114.34456,2799948.273773,NA
"ESRI_2020_trees","CONUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2236657.067449,NA,NA
"ESRI_annual_trees","CONUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2219806.092077,2238944.128514,2225454.352109,2200973.606729,2184245.756538,2184245.756538
"Hansen_GFC","CONUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1792292.595828,1776886.481366,1762299.319481,1750471.022487,1733433.157038,1717824.59784,1701726.776021,1683487.915779,1665544.842276,1653156.816705,1638859.430206,1624995.395569,1608565.39516,1595976.274695,1582274.335101,1569405.911873,1553014.143125,1535264.508097,1519236.737813,1505542.655823,1491196.608958,1475780.874913,NA
"LCMAP_trees","CONUS",2113090.389563,2116741.534184,2118828.934287,2118767.993641,2120269.329078,2122962.75293,2127434.969171,2130669.105243,2133136.523462,2135389.620795,2137517.348173,2135042.351654,2131868.260438,2125432.233745,2119958.359203,2111446.502585,2108186.758929,2106480.127099,2106174.68934,2104043.600952,2102122.855488,2092840.385496,2088968.351185,2084350.062554,2085035.102651,2086567.84493,2077412.211773,2074055.465939,2070742.180197,2068555.180026,2067708.764636,2063249.378324,2062024.882658,2058234.758207,2058593.50836,2058610.975136,2052313.976643,NA
"LCMAP_trees_woodywet","CONUS",2299723.677099,2304265.916169,2306869.640904,2307191.317596,2308965.80408,2311769.522459,2316436.498759,2319879.296886,2322430.833618,2324737.836409,2326910.995633,2324281.132049,2320969.028313,2314157.263603,2308473.464547,2300248.411514,2297062.944364,2295353.944056,2294873.458366,2292070.652206,2289340.741407,2278152.187992,2272843.018863,2267272.066127,2267072.284964,2267757.394286,2256772.155636,2252491.321176,2248363.215069,2245456.669426,2243717.994073,2238347.166648,2236179.124575,2231504.770714,2230755.362805,2229777.903693,2222402.568963,NA
"LCMS_all_trees_mixes","CONUS",2927728.324946,2962606.237392,2978942.161951,2986921.323198,2998623.332069,3012524.816723,3026590.02494,3038569.150785,3050419.381388,3060876.166062,3072975.250224,3075467.141966,3078669.569046,3078445.219623,3075194.666113,3066607.885125,3067603.063078,3071190.481941,3081190.194628,3087987.330115,3095871.364772,3087154.478286,3089586.460635,3093265.439917,3100877.924104,3111790.420088,3104318.395408,3107815.640776,3113977.683094,3122511.642809,3132774.822673,3131039.9646,3127810.812013,3115646.639849,3122938.074586,3125069.717325,3124502.23291,3120815.709226
"LCMS_forest","CONUS",2859611.831477,2923247.307895,2931193.443594,2933083.934691,2941216.876727,2948368.524776,2956702.722488,2963590.65865,2970142.018103,2975486.904108,2984506.349581,2983693.552378,2985842.510272,2984677.47124,2983161.215218,2973937.975643,2973602.456138,2975010.643635,2980564.443071,2984278.864085,2989838.218175,2983692.4755,2988649.157827,2990251.112572,2994211.573818,3003339.390651,2996927.478843,3001518.810778,3009186.212845,3017171.838423,3028626.612956,3030946.463807,3031831.088444,3027905.284849,3039221.819727,3041905.031077,3049841.98157,3084965.888012
